,Planet_Mass1,Planet_Mass2,Planet_Mass3,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Flaring_Index,Rp1,Rp2,Rp3,image_path,Planet_Count
3177,22.166666666666668,399.99999999999994,486.66666666666663,0.1,0.00999,0.03,0.0432,1.0,0.0,0.886,1.95,3.47,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_22/image_83.png,3
639,786.6666666666667,540.0,321.0,0.1,0.00999,0.000157,0.0754,1.0,0.0,0.954,1.82,2.96,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_5/image_62.png,3
1319,135.66666666666669,596.6666666666666,459.99999999999994,0.1,0.00999,0.16,0.0989,1.0,0.0,1.1,1.92,3.25,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_9/image_105.png,3
12385,383.3333333333333,60.0,240.0,0.1,0.0005,0.000157,0.0475,1.0,0.0,0.904,2.02,3.27,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_83/image_16.png,3
3377,390.0,513.3333333333333,653.3333333333333,0.1,0.03,0.000157,0.0946,1.0,0.0,0.966,1.9,2.93,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_23/image_38.png,3
13337,900.0,0.0,0.0,0.1,0.00999,0.03,0.0525,1.0,0.0,1.05,1.87,3.12,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_89/image_119.png,1
8614,820.0,60.0,630.0,0.1,0.03,0.03,0.0595,1.0,0.0,1.1,1.81,3.1,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_58/image_36.png,3
3816,873.3333333333333,956.6666666666667,99.33333333333333,0.1,0.00999,0.03,0.0861,1.0,0.0,0.897,2.14,3.3,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_26/image_48.png,3
9228,266.0,333.3333333333333,0.0,0.1,0.03,0.000157,0.0805,1.0,0.0,0.952,1.86,3.22,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_62/image_146.png,2
2964,730.0,706.6666666666666,127.0,0.1,0.00999,0.03,0.0904,1.0,0.0,1.07,1.86,2.91,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_20/image_14.png,3
3929,249.0,289.0,376.66666666666663,0.1,0.0005,0.03,0.0496,1.0,0.0,1.14,2.06,3.08,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_27/image_81.png,3
12305,623.3333333333333,60.0,240.0,0.1,0.03,0.03,0.0295,1.0,0.0,1.1,2.08,2.94,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_82/image_102.png,3
9956,463.3333333333333,60.0,240.0,0.1,0.0005,0.03,0.0655,1.0,0.0,1.08,2.16,3.3,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_67/image_37.png,3
4874,816.6666666666666,846.6666666666667,596.6666666666666,0.1,0.0005,0.03,0.0839,1.0,0.0,1.06,2.01,3.29,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_33/image_20.png,3
11218,305.66666666666663,60.0,240.0,0.1,0.00999,0.000157,0.0715,1.0,0.0,1.03,2.0,2.96,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_75/image_136.png,3
3927,249.0,289.0,376.66666666666663,0.1,0.0005,0.03,0.0496,1.0,0.0,1.14,2.06,3.08,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_27/image_83.png,3
13317,900.0,0.0,0.0,0.1,0.00999,0.03,0.0525,1.0,0.0,1.05,1.87,3.12,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_89/image_137.png,1
7301,67.66666666666667,333.3333333333333,826.6666666666666,0.1,0.00999,0.03,0.0655,1.0,0.0,1.14,1.89,3.03,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_49/image_143.png,3
